item_id	title	genres	director	producer	actors	release_date	duration	age_rating	imdb_rating	imdb_num_reviews	item_rating_count	popularity	description	genres_list	directors_list	producers_list	actors_list
511	Lawrence of Arabia (1962)	Adventure and War	David Lean	T.E. Lawrence, Robert Bolt, and Michael Wilson	Peter OToole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy, Donald Wolfit, I.S. Johar, Gamil Ratib, Michel Ray, John Dimech, Zia Mohyeddin, Howard Marion-Crawford, Jack Gwillim, and Hugh Miller	1962	3h 48min	Approved	8.3	280K	173	popular	The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.	['Adventure', 'War']	['David Lean']	['T.E. Lawrence', 'Robert Bolt', 'Michael Wilson']	['Peter OToole', 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins', 'Omar Sharif', 'José Ferrer', 'Anthony Quayle', 'Claude Rains', 'Arthur Kennedy', 'Donald Wolfit', 'I.S. Johar', 'Gamil Ratib', 'Michel Ray', 'John Dimech', 'Zia Mohyeddin', 'Howard Marion-Crawford', 'Jack Gwillim', 'Hugh Miller']
197	Graduate, The (1967)	Drama and Romance	Mike Nichols	Calder Willingham, Buck Henry, and Charles Webb	Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels, Murray Hamilton, Elizabeth Wilson, Buck Henry, Brian Avery, Walter Brooke, Norman Fell, Alice Ghostley, Marion Lorne, Eddra Gale, Frank Baker, George Bruggeman, Buddy Douglas, Richard Dreyfuss, and Bob Eubanks	1967	1h 46min	PG	8.0	264K	239	popular	A disillusioned college graduate finds himself torn between his older lover and her daughter.	['Drama', 'Romance']	['Mike Nichols']	['Calder Willingham', 'Buck Henry', 'Charles Webb']	['Dustin Hoffman', 'Anne Bancroft', 'Katharine Ross', 'William Daniels', 'Murray Hamilton', 'Elizabeth Wilson', 'Buck Henry', 'Brian Avery', 'Walter Brooke', 'Norman Fell', 'Alice Ghostley', 'Marion Lorne', 'Eddra Gale', 'Frank Baker', 'George Bruggeman', 'Buddy Douglas', 'Richard Dreyfuss', 'Bob Eubanks']
542	Pocahontas (1995)	Animation, Children's, Musical, and Romance	Mike Gabriel and Eric Goldberg	Carl Binder, Susannah Grant, and Philip LaZebnik	Mel Gibson, Linda Hunt, Christian Bale, Joe Baker, Irene Bedard, Billy Connolly, James Apaumut Fall, John Kassir, Judy Kuhn, Danny Mann, Russell Means, David Ogden Stiers, Michelle St. John, Gordon Tootoosis, Frank Welker, and Jim Cummings	1995	1h 21min	G	6.7	178K	51	average	An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.	"['Animation', ""Children's"", 'Musical', 'Romance']"	['Mike Gabriel', 'Eric Goldberg']	['Carl Binder', 'Susannah Grant', 'Philip LaZebnik']	['Mel Gibson', 'Linda Hunt', 'Christian Bale', 'Joe Baker', 'Irene Bedard', 'Billy Connolly', 'James Apaumut Fall', 'John Kassir', 'Judy Kuhn', 'Danny Mann', 'Russell Means', 'David Ogden Stiers', 'Michelle St. John', 'Gordon Tootoosis', 'Frank Welker', 'Jim Cummings']
110	Operation Dumbo Drop (1995)	Action, Adventure, Comedy, and War	Simon Wincer	James Morris, Gene Quintano, and Jim Kouf	Danny Glover, Ray Liotta, Denis Leary, Doug E. Doug, Corin Nemec, Dinh Thien Le, Tchéky Karyo, Hoang Ly, Vo Trung Anh, Marshall Bell, James Hong, Long Nguyen, Tim Kelleher, Scott N. Stevens, Kevin LaRosa, Christopher Ward, Robert Kevin Miller, and Ming-Yang Li	1995	1h 47min	PG	5.1	8.8K	31	average	To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant.	['Action', 'Adventure', 'Comedy', 'War']	['Simon Wincer']	['James Morris', 'Gene Quintano', 'Jim Kouf']	['Danny Glover', 'Ray Liotta', 'Denis Leary', 'Doug E. Doug', 'Corin Nemec', 'Dinh Thien Le', 'Tchéky Karyo', 'Hoang Ly', 'Vo Trung Anh', 'Marshall Bell', 'James Hong', 'Long Nguyen', 'Tim Kelleher', 'Scott N. Stevens', 'Kevin LaRosa', 'Christopher Ward', 'Robert Kevin Miller', 'Ming-Yang Li']
1399	Stranger in the House (1997)	Thriller	Rodney Gibbons	William Hoy, Peter Liapis, and Steve Pesce	Michele Greene, Bruce Dinsmore, Steve Railsback, Kathleen Kinmont, Vlasta Vrana, Wendii Fulford, Una Kay, Larry Day, Tania Kontoyanni, Tyrone Benskin, Chelsea McIsaac, Maral Hassib, and Bob Homme	1997	1h 34min	R	5.4	231	7	average	A botched diamond burglary and a dead publishing company executive set off a string of murders and betrayal in this suspensful, nonstop thriller!	['Thriller']	['Rodney Gibbons']	['William Hoy', 'Peter Liapis', 'Steve Pesce']	['Michele Greene', 'Bruce Dinsmore', 'Steve Railsback', 'Kathleen Kinmont', 'Vlasta Vrana', 'Wendii Fulford', 'Una Kay', 'Larry Day', 'Tania Kontoyanni', 'Tyrone Benskin', 'Chelsea McIsaac', 'Maral Hassib', 'Bob Homme']
52	Madness of King George, The (1994)	Drama	Nicholas Hytner	Alan Bennett	Nigel Hawthorne, Helen Mirren, Rupert Graves, Amanda Donohoe, Charlotte Curley, Peter Bride-Kirk, Eve Camden, Thomas Copeland, Joanna Hall, Cassandra Halliburton, Russell Martin, Natalie Palys, Rupert Everett, Julian Rhind-Tutt, David Leon, Martin Julier, Anthony Calf, and Matthew Lloyd Davies	1994	1h 50min	PG-13	7.2	16K	91	average	When King George III goes mad, his Lieutenants try to adjust the rules to run the country without his participation.	['Drama']	['Nicholas Hytner']	['Alan Bennett']	['Nigel Hawthorne', 'Helen Mirren', 'Rupert Graves', 'Amanda Donohoe', 'Charlotte Curley', 'Peter Bride-Kirk', 'Eve Camden', 'Thomas Copeland', 'Joanna Hall', 'Cassandra Halliburton', 'Russell Martin', 'Natalie Palys', 'Rupert Everett', 'Julian Rhind-Tutt', 'David Leon', 'Martin Julier', 'Anthony Calf', 'Matthew Lloyd Davies']
363	Sudden Death (1995)	Action	Peter Hyams	Karen Elise Baldwin and Gene Quintano	Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright, Ross Malinger, Dorian Harewood, Kate McNeil, Michael Gaston, Audra Lindley, Brian Delate, Steve Aronson, Michael R. Aubele, Karen Elise Baldwin, Jennifer D. Bowser, Pat Brisson, Glenda Morgan Brown, Jophery C. Brown, and William Cameron	1995	1h 51min	R	5.8	34K	47	average	A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.	['Action']	['Peter Hyams']	['Karen Elise Baldwin', 'Gene Quintano']	['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry', 'Whittni Wright', 'Ross Malinger', 'Dorian Harewood', 'Kate McNeil', 'Michael Gaston', 'Audra Lindley', 'Brian Delate', 'Steve Aronson', 'Michael R. Aubele', 'Karen Elise Baldwin', 'Jennifer D. Bowser', 'Pat Brisson', 'Glenda Morgan Brown', 'Jophery C. Brown', 'William Cameron']
828	Alaska (1996)	Adventure and Children's	Fraser C. Heston	Andy Burg and Scott Myers	Thora Birch, Vincent Kartheiser, Dirk Benedict, Charlton Heston, Duncan Fraser, Gordon Tootoosis, Ben Cardinal, Ryan Kent, Don S. Davis, Dolly Madsen, Stephen E. Miller, Byron Chief-Moon, Kristin Lehman, Adrien Dorval, Ed Gale, Mark McCracken, and Agee	1996	1h 49min	PG	5.8	5.4K	13	average	While searching for their missing father in the mountains of Alaska, two siblings come across a baby polar bear on the run from a pair of poachers.	"['Adventure', ""Children's""]"	['Fraser C. Heston']	['Andy Burg', 'Scott Myers']	['Thora Birch', 'Vincent Kartheiser', 'Dirk Benedict', 'Charlton Heston', 'Duncan Fraser', 'Gordon Tootoosis', 'Ben Cardinal', 'Ryan Kent', 'Don S. Davis', 'Dolly Madsen', 'Stephen E. Miller', 'Byron Chief-Moon', 'Kristin Lehman', 'Adrien Dorval', 'Ed Gale', 'Mark McCracken', 'Agee']
570	Wyatt Earp (1994)	Western	Lawrence Kasdan	Dan Gordon and Lawrence Kasdan	Kevin Costner, Dennis Quaid, Gene Hackman, David Andrews, Linden Ashby, Jeff Fahey, Joanna Going, Mark Harmon, Michael Madsen, Catherine OHara, Bill Pullman, Isabella Rossellini, Tom Sizemore, JoBeth Williams, Mare Winningham, James Gammon, Rex Linn, and Randle Mell	1994	3h 11min	PG-13	6.7	48K	50	average	From Wichita to Dodge City to the O.K. Corral in Tombstone, a man becomes a myth in this thrilling journey of romance, adventure and desperate, heroic action.	['Western']	['Lawrence Kasdan']	['Dan Gordon', 'Lawrence Kasdan']	['Kevin Costner', 'Dennis Quaid', 'Gene Hackman', 'David Andrews', 'Linden Ashby', 'Jeff Fahey', 'Joanna Going', 'Mark Harmon', 'Michael Madsen', 'Catherine OHara', 'Bill Pullman', 'Isabella Rossellini', 'Tom Sizemore', 'JoBeth Williams', 'Mare Winningham', 'James Gammon', 'Rex Linn', 'Randle Mell']
811	Thirty-Two Short Films About Glenn Gould (1993)	Documentary	François Girard	François Girard, Don McKellar, and Glenn Gould	Colm Feore, Derek Keurvorst, Katya Ladan, Devon Anderson, Joshua Greenblatt, Sean Vertigo, Kate Hennig, Sean Doyle, Sharon Bernbaum, Don McKellar, David Hughes, Carlo Rota, Peter Millard, John Dolan, Allegra Fulton, Dick Callahan, Guy Thauvette, and R.D. Reid	1993	1h 38min	Not Rated	7.4	3.7K	18	average	A collection of vignettes highlighting different aspects of the life, work, and character of the acclaimed Canadian classical pianist.	['Documentary']	['François Girard']	['François Girard', 'Don McKellar', 'Glenn Gould']	['Colm Feore', 'Derek Keurvorst', 'Katya Ladan', 'Devon Anderson', 'Joshua Greenblatt', 'Sean Vertigo', 'Kate Hennig', 'Sean Doyle', 'Sharon Bernbaum', 'Don McKellar', 'David Hughes', 'Carlo Rota', 'Peter Millard', 'John Dolan', 'Allegra Fulton', 'Dick Callahan', 'Guy Thauvette', 'R.D. Reid']
